vuosi,kuukausi_nro,etuus,saajat_yhteensa,saajat_laskenta_yhteensa,maksettu_yhteensa,maksettu_laskenta_yhteensa
2008,12,Eläke-etuudet (pl. takuueläke),0,0,5015766370.44,0
2008,12,Eläketuki,0,0,24692264.06,0
2008,12,Eläkkeensaajan asumistuki,0,0,698520629.32,0
2008,12,Erityishoitoraha,9710,9710,5853170.5,5853170.5
2008,12,Koulumatkatuki,132666,132666,72292013.7,72292013.7
2008,12,Kuntoutus,172640,172640,472607210.24,472607210.24
2008,12,Kuntoutusraha,116112,116112,117423662,117423662
2008,12,Lapsilisä,1193096,1191534,2849916006.28,2835760226.42
2008,12,Lastenhoidon tuet,286094,286094,653330445.9,653330445.9
2008,12,Maahanmuuttajan erityistuki,0,0,45538175.72,0
2008,12,Opintolainan korkoavustus,12284,12284,3367889.5,3367889.5
2008,12,"Opintotuki (opintoraha, asumislisä, lainatakaus)",658454,651770,1365106410.58,1874480484.24
2008,12,Sairaanhoitokorvaukset,8221812,8221812,3422731675.66,3422731675.66
2008,12,Sairauspäivärahat,690358,690358,1562009126.88,1562009126.88
2008,12,Sotilasavustus,25030,25030,36496083.36,36496083.36
2008,12,Työttömyysturva,471160,471160,1644305290.78,1644305290.78
2008,12,Vammaisetuudet,0,0,798470351,0
2008,12,Vanhempainpäiväraha,310348,310348,1662776860.32,1662776860.32
2008,12,Vuosilomakustannuskorvaus,45396,45396,97932856.78,97932856.78
2008,12,Yleinen asumistuki,0,0,856650567.45,0
2008,12,Äitiysavustus,120838,120838,22040899.88,22040899.88
2009,12,Elatustuki,0,0,229278572.96,0
2009,12,Eläke-etuudet (pl. takuueläke),0,0,5122516859.52,0
2009,12,Eläketuki,0,0,9257902.54,0
2009,12,Eläkkeensaajan asumistuki,0,0,740210229.44,0
2009,12,Erityishoitoraha,9186,9186,6684862.8,6684862.8
2009,12,Koulumatkatuki,131586,131586,75166304.7,75166304.7
2009,12,Kuntoutus,167520,167520,469203810.26,469203810.26
2009,12,Kuntoutusraha,108598,108598,130140238.6,130140238.6
2009,12,Lapsilisä,1192505,1190578,2873802103.81,2857759121.87
2009,12,Lastenhoidon tuet,285702,285702,686677414.68,686677414.68
2009,12,Maahanmuuttajan erityistuki,0,0,47877650.96,0
2009,12,Opintolainan korkoavustus,11004,11004,2597827.34,2597827.34
2009,12,Opintolainavähennys,7808,7808,0,0
2009,12,"Opintotuki (opintoraha, asumislisä, lainatakaus)",678644,672118,1540806370.4,2063156696.6
2009,12,Sairaanhoitokorvaukset,8274054,8274054,3495661847.34,3495661847.34
2009,12,Sairauspäivärahat,658072,658072,1616920166.1,1616920166.1
2009,12,Sotilasavustus,25248,25248,37771753.03,37771753.03
2009,12,Työttömyysturva,512194,512194,1947816862.92,1947816862.92
2009,12,Vammaisetuudet,0,0,836787263,0
2009,12,Vanhempainpäiväraha,313674,313674,1820780558.6,1820780558.6
2009,12,Vuosilomakustannuskorvaus,49648,49648,111793809.48,111793809.48
2009,12,Yleinen asumistuki,0,0,964216518.95,0
2009,12,Äitiysavustus,119892,119892,22122848.76,22122848.76
2010,12,Elatustuki,0,0,326527764.9,0
2010,12,Eläke-etuudet (pl. takuueläke),0,0,4989574142.22,0
2010,12,Eläketuki,0,0,77310.74,0
2010,12,Eläkkeensaajan asumistuki,0,0,786546805.66,0
2010,12,Erityishoitoraha,8616,8616,7376942.36,7376942.36
2010,12,Koulumatkatuki,133450,133450,78485354.98,78485354.98
2010,12,Kuntoutus,167418,167418,474672235.1,474672235.1
2010,12,Kuntoutusraha,104692,104692,135564180.08,135564180.08
2010,12,Lapsilisä,1189635,1187554,2866243567.37,2850158793.01
2010,12,Lastenhoidon tuet,293272,293272,705240480.82,705240480.82
2010,12,Maahanmuuttajan erityistuki,0,0,48416762.52,0
2010,12,Opintolainan korkoavustus,7018,7018,1072019.82,1072019.82
2010,12,Opintolainavähennys,11496,11496,0,0
2010,12,"Opintotuki (opintoraha, asumislisä, lainatakaus)",685308,679326,1569154532.94,2117408359.46
2010,12,Sairaanhoitokorvaukset,8340758,8340758,3484424278.88,3484424278.88
2010,12,Sairauspäivärahat,640610,640610,1652237849.42,1652237849.42
2010,12,Sotilasavustus,25678,25678,36820008.95,36820008.95
2010,12,Työttömyysturva,537580,537580,2192421192.12,2192421192.12
2010,12,Vammaisetuudet,0,0,1017821256,0
2010,12,Vanhempainpäiväraha,319940,319940,1914962406.22,1914962406.22
2010,12,Vuosilomakustannuskorvaus,51704,51704,123147242.44,123147242.44
2010,12,Yleinen asumistuki,0,0,1060147781.29,0
2010,12,Äitiysavustus,120376,120376,22114776.29,22114776.29
2011,12,Elatustuki,0,0,335327971.72,0
2011,12,Eläke-etuudet (pl. takuueläke),0,0,4857142302.7,0
2011,12,Eläketuki,0,0,-10038.7,0
2011,12,Eläkkeensaajan asumistuki,0,0,840459900.89,0
2011,12,Erityishoitoraha,9174,9174,7173186.36,7173186.36
2011,12,Koulumatkatuki,134284,134284,83811004.34,83811004.34
2011,12,Kuntoutus,174636,174636,524375293.62,524375293.62
2011,12,Kuntoutusraha,104664,104664,143645981.42,143645981.42
2011,12,Lapsilisä,1186926,1184962,2872059121.03,2855742436.14
2011,12,Lastenhoidon tuet,296204,296204,697428160.04,697428160.04
2011,12,Maahanmuuttajan erityistuki,0,0,8026226.44,0
2011,12,Opintolainan korkoavustus,5828,5828,880937.96,880937.96
2011,12,Opintolainavähennys,13378,13378,0,0
2011,12,"Opintotuki (opintoraha, asumislisä, lainatakaus)",672462,666140,1517487288.78,2272211220.68
2011,12,Sairaanhoitokorvaukset,8441138,8441138,3622886099.5,3622886099.5
2011,12,Sairauspäivärahat,646936,646936,1701575868.98,1701575868.98
2011,12,Sotilasavustus,25182,25182,38015667.61,38015667.61
2011,12,Takuueläke,0,0,242894429,0
2011,12,Työttömyysturva,542844,542844,2266358841.16,2266358841.16
2011,12,Vammaisetuudet,0,0,1063097682,0
2011,12,Vanhempainpäiväraha,323306,323306,1976856260.48,1976856260.48
2011,12,Vuosilomakustannuskorvaus,53598,53598,126278662.7,126278662.7
2011,12,Yleinen asumistuki,0,0,1104717311.89,0
2011,12,Äitiysavustus,118232,118232,21903068.87,21903068.87
2012,12,Elatustuki,0,0,352957918.6,0
2012,12,Eläke-etuudet (pl. takuueläke),0,0,4882606428.66,0
2012,12,Eläkkeensaajan asumistuki,0,0,883063185.99,0
2012,12,Erityishoitoraha,9378,9378,8013746.5,8013746.5
2012,12,Koulumatkatuki,136798,136798,95778481.62,95778481.62
2012,12,Kuntoutus,182296,182296,548686895.6,548686895.6
2012,12,Kuntoutusraha,106254,106254,154250373.4,154250373.4
2012,12,Lapsilisä,1183410,1181610,2979654303.55,2959474684.83
2012,12,Lastenhoidon tuet,296090,296090,721607075.54,721607075.54
2012,12,Opintolainan korkoavustus,6236,6236,1042494.82,1042494.82
2012,12,Opintolainavähennys,16272,16272,0,0
2012,12,"Opintotuki (opintoraha, asumislisä, lainatakaus)",661074,656084,1476975748.74,2472360692.9
2012,12,Sairaanhoitokorvaukset,8460374,8460374,3759171374.14,3759171374.14
2012,12,Sairauspäivärahat,650620,650620,1725698562.72,1725698562.72
2012,12,Sotilasavustus,24746,24746,40277359.77,40277359.77
2012,12,Takuueläke,0,0,308304378,0
2012,12,Työttömyysturva,558092,558092,2839017507.12,2839017507.12
2012,12,Vammaisetuudet,0,0,1110636687,0
2012,12,Vanhempainpäiväraha,324610,324610,2017712362.92,2017712362.92
2012,12,Vuosilomakustannuskorvaus,58624,58624,136130941.31,136130941.31
2012,12,Yleinen asumistuki,0,0,1211972934.93,0
2012,12,Äitiysavustus,116074,116074,21572782.65,21572782.65
2013,12,Elatustuki,0,0,370013358.38,0
2013,12,Eläke-etuudet (pl. takuueläke),0,0,4915098354.64,0
2013,12,Eläkkeensaajan asumistuki,0,0,936034143.71,0
2013,12,Erityishoitoraha,9604,9604,9035201.5,9035201.5
2013,12,Koulumatkatuki,136440,136440,101402587.52,101402587.52
2013,12,Kuntoutus,197726,197726,582989647.42,582989647.42
2013,12,Kuntoutusraha,111042,111042,166912018.06,166912018.06
2013,12,Lapsilisä,1179386,1177742,2985551551.95,2966661368.03
2013,12,Lastenhoidon tuet,297234,297234,740440034.14,740440034.14
2013,12,Opintolainan korkoavustus,4740,4740,634566.82,634566.82
2013,12,Opintolainavähennys,17376,17376,0,0
2013,12,"Opintotuki (opintoraha, asumislisä, lainatakaus)",654078,649120,1463542468.6,2472133549.12
2013,12,Sairaanhoitokorvaukset,8427206,8427206,3660920177.14,3660920177.14
2013,12,Sairauspäivärahat,623354,623354,1712964886.2,1712964886.2
2013,12,Sotilasavustus,24034,24034,38243521.21,38243521.21
2013,12,Takuueläke,0,0,315497037,0
2013,12,Työttömyysturva,614706,614706,3365566802.14,3365566802.14
2013,12,Vammaisetuudet,0,0,1185412005,0
2013,12,Vanhempainpäiväraha,320328,320328,2062266487.22,2062266487.22
2013,12,Vuosilomakustannuskorvaus,58510,58510,137754012.87,137754012.87
2013,12,Yleinen asumistuki,0,0,1339004572.59,0
2013,12,Äitiysavustus,114338,114338,21077296.3,21077296.3
2014,12,Elatustuki,0,0,387257226.96,0
2014,12,Eläke-etuudet (pl. takuueläke),0,0,4807292572.18,0
2014,12,Eläkkeensaajan asumistuki,0,0,995745527.33,0
2014,12,Erityishoitoraha,9730,9730,10315619.32,10315619.32
2014,12,Koulumatkatuki,135208,135208,102300039.66,102300039.66
2014,12,Kuntoutus,214214,214214,626642336.76,626642336.76
2014,12,Kuntoutusraha,113462,113462,182765860.84,182765860.84
2014,12,Lapsilisä,1175522,1173738,2990397563.11,2969426310.23
2014,12,Lastenhoidon tuet,295646,295646,742565070.78,742565070.78
2014,12,Opintolainan korkoavustus,3396,3396,394863.2,394863.2
2014,12,Opintolainavähennys,18188,18188,0,0
2014,12,"Opintotuki (opintoraha, asumislisä, lainatakaus)",652672,647792,1505498871.28,2680711574.64
2014,12,Sairaanhoitokorvaukset,8464174,8464174,3740857182.14,3740857182.14
2014,12,Sairauspäivärahat,616478,616478,1733246872.46,1733246872.46
2014,12,Sotilasavustus,19024,19024,35769115.13,35769115.13
2014,12,Takuueläke,0,0,313193812,0
2014,12,Työttömyysturva,672816,672816,3866367283.86,3866367283.86
2014,12,Vammaisetuudet,0,0,1225838789,0
2014,12,Vanhempainpäiväraha,316868,316868,2067209083.12,2067209083.12
2014,12,Vuosilomakustannuskorvaus,60040,60040,142977109.46,142977109.46
2014,12,Yleinen asumistuki,0,0,1484599328.07,0
2014,12,Äitiysavustus,114740,114740,21095086.49,21095086.49
2015,12,Elatustuki,0,0,403804350.44,0
2015,12,Eläke-etuudet (pl. takuueläke),0,0,4682506059.42,0
2015,12,Eläkkeensaajan asumistuki,0,0,1064306767.01,0
2015,12,Erityishoitoraha,10366,10366,10768018.76,10768018.76
2015,12,Koulumatkatuki,128738,128738,94135484.12,94135484.12
2015,12,Kuntoutus,224424,224424,685094912.08,685094912.08
2015,12,Kuntoutusraha,114584,114584,198833822.54,198833822.54
